,run,cast,stop,hunch,backup,roll,small_actions
14.8,0.6384408602150539,0.2682795698924731,0.019086021505376347,0.006720430107526881,0.032526881720430105,0.008602150537634409,0.026344086021505373
14.9,0.6423948220064725,0.267799352750809,0.016720604099244873,0.005393743257820928,0.03640776699029126,0.007281553398058253,0.024002157497303125
15.0,0.6488384656942194,0.26769313884386814,0.01539708265802269,0.004592112371690977,0.03403565640194489,0.006482982171799027,0.022960561858454888
15.100000000000001,0.6482683982683983,0.2697510822510823,0.012987012987012988,0.004058441558441558,0.030844155844155844,0.005681818181818182,0.028409090909090908
15.200000000000001,0.640422077922078,0.2711038961038961,0.011363636363636364,0.00487012987012987,0.02922077922077922,0.00487012987012987,0.03814935064935065
15.3,0.6387987012987013,0.26704545454545453,0.010551948051948052,0.005681818181818182,0.030032467532467532,0.00487012987012987,0.04301948051948052
15.4,0.6435856146001074,0.2662372517444981,0.00966183574879227,0.006977992485238862,0.030864197530864192,0.004830917874396135,0.037842190016103054
15.5,0.6470746108427269,0.26570048309178745,0.010466988727858293,0.005099302200751476,0.03113258185721954,0.004830917874396135,0.03569511540526033
15.600000000000001,0.6489817792068596,0.26607717041800644,0.012861736334405145,0.0037513397642015,0.02920685959271168,0.00482315112540193,0.03429796355841371
15.700000000000001,0.651100375738057,0.263016639828234,0.01288244766505636,0.006709608158883521,0.026570048309178744,0.003488996242619431,0.03623188405797101
15.8,0.6500802568218299,0.2624398073836276,0.01043338683788122,0.01043338683788122,0.025682182985553772,0.0016051364365971107,0.03932584269662921
15.9,0.6575121163166397,0.2641357027463651,0.011308562197092083,0.011308562197092083,0.025040387722132473,0.0016155088852988692,0.029079159935379646
16.0,0.6521035598705501,0.2686084142394822,0.013754045307443365,0.010517799352750809,0.025889967637540454,0.0016181229773462784,0.02750809061488673
16.1,0.6491370010787486,0.2656418554476807,0.015372168284789644,0.007820927723840345,0.030744336569579287,0.0016181229773462784,0.0296655879180151
16.2,0.6477885652642935,0.2594390507011866,0.01779935275080906,0.008090614886731391,0.032901833872707655,0.0026968716289104636,0.03128371089536138
16.3,0.6455662393162392,0.2532051282051282,0.016826923076923076,0.009348290598290596,0.035256410256410256,0.003205128205128205,0.03659188034188034
16.400000000000002,0.6407169609416801,0.25147137506688066,0.01631888710540396,0.011503477795612626,0.0382557517388978,0.0032102728731942215,0.038523274478330656
16.5,0.6459677419354839,0.2508064516129032,0.016935483870967744,0.00967741935483871,0.036290322580645164,0.0032258064516129032,0.037096774193548385
16.6,0.6480582524271845,0.2524271844660194,0.01779935275080906,0.00889967637540453,0.029935275080906147,0.0040453074433656954,0.038834951456310676
16.7,0.6423948220064725,0.2580906148867314,0.01699029126213592,0.009708737864077669,0.02750809061488673,0.0048543689320388345,0.040453074433656956
16.8,0.6456310679611651,0.2540453074433657,0.014563106796116505,0.012944983818770227,0.03398058252427184,0.0048543689320388345,0.03398058252427184
16.900000000000002,0.6496212121212122,0.255952380952381,0.011904761904761902,0.012175324675324676,0.03598484848484848,0.00487012987012987,0.02949134199134199
17.0,0.6544117647058824,0.2565359477124183,0.011437908496732025,0.010893246187363835,0.03131808278867103,0.005991285403050109,0.029411764705882353
17.1,0.6601200218221496,0.2534097108565193,0.011456628477905073,0.006819421713038733,0.03136933987997818,0.006546644844517185,0.030278232405891982
17.200000000000003,0.6568787384448069,0.25666122892876564,0.010603588907014683,0.0038064165307232192,0.03371397498640565,0.0065252854812398045,0.03181076672104405
17.3,0.6530944625407166,0.253257328990228,0.008957654723127036,0.005700325732899023,0.035830618892508145,0.007328990228013029,0.035830618892508145
17.400000000000002,0.6504065040650406,0.24796747967479674,0.008130081300813009,0.00894308943089431,0.03577235772357724,0.008130081300813009,0.04065040650406504
17.5,0.6525974025974026,0.24918831168831168,0.008928571428571428,0.008928571428571428,0.03409090909090909,0.008116883116883116,0.03814935064935065
17.6,0.6631436314363144,0.24363143631436313,0.01029810298102981,0.00975609756097561,0.030352303523035227,0.008672086720867209,0.03414634146341464
17.700000000000003,0.660493827160494,0.24530327428878154,0.010735373054213633,0.01234567901234568,0.031669350509930215,0.009125067096081588,0.03032742887815352
17.8,0.6532040926225093,0.2469036079698438,0.010770059235325794,0.01615508885298869,0.033925686591276254,0.009154550350026925,0.02988691437802908
17.900000000000002,0.6515641855447681,0.24298813376483283,0.011326860841423949,0.016720604099244873,0.03532901833872708,0.009708737864077669,0.032362459546925564
18.0,0.6521035598705501,0.24110032362459546,0.012135922330097087,0.012944983818770227,0.0372168284789644,0.009708737864077669,0.03478964401294499
18.1,0.6494345718901454,0.24394184168012925,0.011308562197092083,0.011308562197092083,0.03877221324717286,0.009693053311793215,0.035541195476575124
18.200000000000003,0.6465378421900161,0.249597423510467,0.011272141706924315,0.010466988727858293,0.037037037037037035,0.00966183574879227,0.03542673107890499
18.3,0.6443907675791734,0.25979602791196993,0.010198604401502952,0.006172839506172839,0.03542673107890499,0.007783145464304885,0.036231884057971016
18.400000000000002,0.6398282340311325,0.2632850241545894,0.00966183574879227,0.0032206119162640897,0.03676865271068169,0.007514761137949542,0.039720880300590455
18.5,0.6424774056353004,0.2583732057416268,0.011430090377458797,0.0007974481658692185,0.03508771929824561,0.009037745879851141,0.042796384901648055
18.6,0.6422505307855627,0.25,0.013800424628450105,0.0015923566878980893,0.03397027600849257,0.009554140127388535,0.048832271762208064
18.700000000000003,0.6453396524486572,0.2477619799894681,0.015007898894154818,0.004739336492890996,0.03475513428120063,0.009478672985781991,0.042917324907846235
