p_table_1	p_table_2	p_table_3	p_table_4	p_table_5	p_table_6	p_table_7	p_table_8	p_table_9
NaN	0.505022763512179	0.257082563642835	0.265827808308768	0.358547695287916	0.445968371240223	0.317433143696734	NaN	NaN
0.0144465949746331	NaN	0.0906222210999362	0.0162504945793257	0.372324128851899	0.0137778556923199	0.783948086154805	NaN	NaN
0.267209604089457	0.00233143500343225	NaN	0.844354089103961	0.49637502954968	0.485762535102017	0.00300661650891243	NaN	NaN
0.0330545447138404	0.68498502146885	0.170782408749322	NaN	0.0119407183837048	0.0304651132924462	0.000106096581827586	NaN	NaN
0.296418577723157	0.457308281878767	0.00188491826015391	0.942737054262427	NaN	0.469599149899132	0.0430857054061581	NaN	NaN
0.326328122415971	0.0907050580312326	0.663739449862954	0.778242091191223	0.0227974486378999	NaN	0.272071750099994	NaN	NaN
0.863120576914134	0.818277419885124	0.0760997728098597	0.0315593008636691	0.59027396627119	0.39292574250042	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
